,country,chistians,muslims,unaffiliated,hindus,buddhists,folkReligions,other,jews,happinessRank,score,pop2021
128,Sweden,6310000,430000,2540000,20000,40000,20000,20000,10000,7,7.353,10160169.0
129,Switzerland,5570000,380000,1600000,40000,40000,5000,10000,20000,3,7.56,8715494.0
130,Taiwan,1280000,10000,2950000,5000,4950000,10260000,3760000,5000,25,6.455,23855010.0
131,Tajikistan,110000,6650000,100000,5000,5000,5000,5000,5000,71,5.556,9749627.0
132,Tanzania,27540000,15770000,650000,50000,5000,800000,30000,5000,148,3.476,61498437.0
133,Thailand,600000,3770000,190000,70000,64420000,60000,5000,5000,54,5.999,69950850.0
134,Togo,2640000,840000,370000,5000,5000,2150000,30000,5000,135,4.187,8478250.0
135,Trinidad and Tobago,880000,80000,30000,300000,5000,30000,20000,5000,42,6.192,1403375.0
136,Tunisia,20000,10430000,20000,5000,5000,5000,5000,5000,128,4.392,11935766.0
137,Turkey,320000,71330000,860000,5000,40000,20000,150000,20000,93,5.132,85042738.0
138,Turkmenistan,320000,4690000,30000,5000,5000,5000,5000,5000,95,5.119,6117924.0
139,Uganda,28980000,3840000,170000,100000,5000,290000,40000,5000,126,4.432,47123531.0
140,Ukraine,38100000,560000,6690000,10000,20000,5000,5000,50000,123,4.561,43466819.0
141,United Arab Emirates,940000,5780000,90000,490000,150000,5000,60000,5000,21,6.791,9991089.0
142,United Kingdom,39890000,2960000,17220000,890000,280000,60000,460000,290000,13,7.165,68207116.0
143,United States,243060000,2770000,50980000,1790000,3570000,630000,1900000,5690000,18,6.94,332915073.0
144,Uruguay,1950000,5000,1370000,5000,5000,30000,5000,5000,26,6.44,3485151.0
145,Uzbekistan,630000,26550000,220000,5000,10000,10000,5000,10000,38,6.258,33935763.0
146,Venezuela,25890000,90000,2900000,5000,5000,60000,20000,5000,99,5.053,28704954.0
147,Vietnam,7170000,160000,26040000,5000,14380000,39750000,350000,5000,83,5.353,98168833.0
148,Yemen,40000,23830000,20000,150000,5000,5000,5000,5000,146,3.527,30490640.0
149,Zambia,12770000,70000,70000,10000,5000,40000,120000,5000,141,3.759,18920651.0
150,Zimbabwe,10930000,110000,990000,5000,5000,480000,40000,10000,151,3.299,15092171.0
